EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19620906,    8,    0
  4970,132727,19620907,    7,    0
  4970,132727,19620908,    6,    0
  4970,132727,19620909,    2,    0
  4970,132727,19620910,    3,    0
  4970,132727,19620911,    7,    0
  4970,132727,19620912,    4,    0
  4970,132727,19620913,    5,    0
  4970,132727,19620914,    0,    0
  4970,132727,19620915,    3,    0
  4970,132727,19620916,    6,    0
  4970,132727,19620917,    5,    0
  4970,132727,19620918,    7,    0
  4970,132727,19620919,    8,    0
  4970,132727,19620920,    4,    0
  4970,132727,19620921,    5,    0
  4970,132727,19620922,    6,    0
  4970,132727,19620923,    8,    0
  4970,132727,19620924,    3,    0
  4970,132727,19620925,    2,    0
  4970,132727,19620926,    5,    0
  4970,132727,19620927,    8,    0
  4970,132727,19620928,    7,    0
  4970,132727,19620929,    5,    0
  4970,132727,19620930,    6,    0
  4970,132727,19621001,    2,    0
  4970,132727,19621002,    1,    0
  4970,132727,19621003,    2,    0
  4970,132727,19621004,    8,    0
  4970,132727,19621005,    2,    0
  4970,132727,19621006,    1,    0
  4970,132727,19621007,    1,    0
  4970,132727,19621008,    3,    0
  4970,132727,19621009,    0,    0
  4970,132727,19621010,    0,    0
